db_id	question	hardness	query
bakanlık_yönetimi	56 yaşından büyük kaç tane bakan var?	easy	SELECT count(*) FROM bakan WHERE yaş > 56
bakanlık_yönetimi	Yaşa göre sıralanacak şekilde bakanların isimlerini, doğdukları eyaletleri ve yaşlarını sırala.	medium	SELECT isim , doğduğu_eyalet , yaş FROM bakan ORDER BY yaş
bakanlık_yönetimi	Tüm bakanlıkların kuruluş yıllarını, isimlerini ve bütçelerini listele.	medium	SELECT Oluşum_Yılı , İsim , Milyar_Bazında_Bütçe FROM bakanlık
bakanlık_yönetimi	Bakanlıkların maksimum ve minimum bütçeleri nedir?	medium	SELECT max(Milyar_Bazında_Bütçe) , min(Milyar_Bazında_Bütçe) FROM bakanlık
bakanlık_yönetimi	Sıralaması 10 ve 15 arasında olan çalışanların ortalama numarası nedir?	easy	SELECT avg(Çalışan_Sayısı) FROM bakanlık WHERE Sıralama BETWEEN 10 AND 15
bakanlık_yönetimi	Kaliforniya eyaleti dışında doğmuş bakanların isimleri nelerdir?	easy	SELECT isim FROM bakan WHERE doğduğu_eyalet != 'California'
bakanlık_yönetimi	Alabama' eyaletinde doğmuş sekreter tarafından yönetilen bakanlıkların oluşum yılları nelerdir?	hard	SELECT DISTINCT T1.Oluşum_Yılı FROM bakanlık AS T1 JOIN yönetim AS T2 ON T1.bakanlık_no = T2.bakanlık_no JOIN bakan AS T3 ON T2.bakan_no = T3.bakan_no WHERE T3.doğduğu_eyalet = 'Alabama'
bakanlık_yönetimi	En az 3 bakanın doğduğu eyaletlerin isimleri nelerdir?	easy	SELECT doğduğu_eyalet FROM bakan GROUP BY doğduğu_eyalet HAVING count(*) >= 3
bakanlık_yönetimi	En fazla bakanlığın oluştuğu yıl hangisidir?	hard	SELECT Oluşum_Yılı FROM bakanlık GROUP BY Oluşum_Yılı ORDER BY count(*) DESC LIMIT 1
bakanlık_yönetimi	Geçici vekil değeri 'Evet' olan bakanlar tarafından yönetilen bakanlıkların isimlerini ve çalışan sayılarını göster.	medium	SELECT T1.İsim , T1.Çalışan_sayısı FROM bakanlık AS T1 JOIN yönetim AS T2 ON T1.bakanlık_no = T2.bakanlık_no WHERE T2.geçici_vekil = 'Evet'
bakanlık_yönetimi	Burada kaç tane vekillik durumları vardır?	easy	SELECT count(DISTINCT geçici_vekil) FROM yönetim
bakanlık_yönetimi	Kaç bakanlığın bakanından bahsedilmemiştir?	extra	SELECT count(*) FROM bakanlık WHERE bakanlık_no NOT IN (SELECT bakanlık_no FROM yönetim);
bakanlık_yönetimi	Vekillik yapan bakanınların farklı yaşları nelerdir?	medium	SELECT DISTINCT T1.yaş FROM yönetim AS T2 JOIN bakan AS T1 ON T1.bakan_no = T2.bakan_no WHERE T2.geçici_vekil = 'Evet'
bakanlık_yönetimi	Maliye bakanı ile iç güvenlik bakanının doğdukları eyaletleri listele.	extra	SELECT T3.doğduğu_eyalet FROM bakanlık AS T1 JOIN yönetim AS T2 ON T1.Bakanlık_No = T2.Bakanlık_No JOIN bakan AS T3 ON T2.bakan_no = T3.bakan_no WHERE T1.İsim = 'Hazine' INTERSECT SELECT T3.doğduğu_eyalet FROM bakanlık AS T1 JOIN yönetim AS T2 ON T1.Bakanlık_No = T2.Bakanlık_No JOIN bakan AS T3 ON T2.bakan_no = T3.bakan_no WHERE T1.İsim = 'İç Güvenlik'
bakanlık_yönetimi	Hangi bakanlığın birden fazla bakanı vardır? Numarasını, ismini ve bakan sayısını listele.	medium	SELECT T1.bakanlık_no , T1.İsim , count(*) FROM yönetim AS T2 JOIN bakanlık AS T1 ON T1.bakanlık_no = T2.bakanlık_no GROUP BY T1.bakanlık_no HAVING count(*) > 1
bakanlık_yönetimi	Hangi bakanın ismi 'Ha' substring'ini içerir? Numarasını ve ismini listele.	medium	SELECT bakan_no , isim FROM bakan WHERE isim LIKE '%Ha%'
çiftlik	Burada kaç tane çiftlik var?	easy	SELECT count(*) FROM çiftlik
çiftlik	Çiftlik sayısını say.	easy	SELECT count(*) FROM çiftlik
çiftlik	Çiftliklerdeki toplam at sayısını artan sırayla listele.	easy	SELECT Toplam_At FROM çiftlik ORDER BY Toplam_At ASC
çiftlik	Her çiftliğin artan sırada toplam at sayısı nedir?	easy	SELECT Toplam_At FROM çiftlik ORDER BY Toplam_At ASC
çiftlik	"Teması ""Aliens"" olmayan yarışmaların ev sahipleri kimlerdir?"	easy	SELECT Ev_sahipleri FROM çiftlik_yarışması WHERE Tema != 'Aliens'
çiftlik	"Teması ""Aliens"" olmayan yarışmaların ev sahiplerini döndür."	easy	SELECT Ev_sahipleri FROM çiftlik_yarışması WHERE Tema != 'Aliens'
çiftlik	Yıla göre artan şekilde, çiftlik müsabakalarının temaları nelerdir?	easy	SELECT Tema FROM çiftlik_yarışması ORDER BY Yıl ASC
çiftlik	Çiftlik yarışmalarının temalarını yıla göre artan şekilde sırala.	easy	SELECT Tema FROM çiftlik_yarışması ORDER BY Yıl ASC
çiftlik	Toplam at sayısı 5000'den fazla olan çiftliklerde ortalama çalışan at sayısı nedir?	easy	SELECT avg(Çalışan_Atlar) FROM çiftlik WHERE Toplam_At > 5000
